text,label
ATM机吐出最后两百块余额，屏幕映出我那张因熬夜而发灰的脸，这大概就是大城市给我的遣散费,sadness
DDL 就像一个不断逼近的倒计时器，而我的思路还停留在开头第一行，好慌,anxiety
DDL到了没头绪好急,anxiety
DDL到了还没写完急死我,anxiety
DDL就在今晚，一个字还没写，救命,anxiety
DDL就在明天可大纲都没写，急得心脏快跳出嗓子眼，恨不得立刻消失,anxiety
deadline 临近，心急如焚,anxiety
deadline就在眼前，可我还是没有一点思路,anxiety
deadline就在眼前，可我还是没有一点思路，急得想哭,anxiety
deadline快到了，我还没写到一半，急得想撞墙,anxiety
deadline快到了，我还没写到一半，急得想撞墙，我这拖延症没救了,anxiety
deadline快到了，我还没写到一半，疯了,anxiety
emo了,sadness
kswl这一对尊滴好磕，满屏粉红泡泡，我这老阿姨的心都化了,joy
ojbk还是你懂我，出完这身汗我觉得自己又能再活五百年,joy
ppt没保存，心态崩了,anger
yyds,joy
yyds！,joy
一个人去医院打点滴，看着旁边都有人陪，突然觉得好孤单啊。,sadness
一个人去医院看病，好孤独,sadness
一个人吃火锅，中途去调个蘸料，回来发现服务员把我的锅底给收了。,sadness
一个人吃饭有点孤单,sadness
一个人吃饭有点孤独,sadness
一个人吃饭有点难过,sadness
一个人吃饭的时候真的挺难过的,sadness
一个人回家路上有点孤单,sadness
一个人在外地生病了，好想家,sadness
一个人坐在那里，说不清楚在等什么，就是坐不住,anxiety
一个人太难了,sadness
一个人好孤独,sadness
一个人安安静静待着也不错,contentment
一个人异地他乡，生病了只能自己去挂水，看着输液瓶一滴滴落下，好想回家啊。,sadness
一个人待久了有点空,sadness
一个人待会儿就好,sadness
一个人待着有点失落,sadness
一个人待着有点难过,sadness
一个人承担所有真累,sadness
一个人搬家，看着满屋子的打包袋，突然就蹲在地上哭了出来,sadness
一个人有点孤单,sadness
一个人的时候还好，一旦有人问起就容易说多,anxiety
一个人真累,sadness
一个人走在街上有点落寞,sadness
一个人走在路上突然有点落寞,sadness
一个人走着有点失落,sadness
一个人走着有点孤独,sadness
一切在掌控内就很开心,joy
一切都在按计划推进，这种对生活的掌控感让我感到很安心。,contentment
一切都在按部就班地进行，没有惊喜也没有意外，挺好。,contentment
一切都按部就班地进行着，内心感到久违的平静,contentment
一切都按部就班地进行着，生活节奏终于慢了下来,contentment
一切都按部就班地进行着，知足了，不再奢求更多,contentment
一切都按部就班地进行着，觉得现在这样就很好,contentment
一切都结束了。,sadness
一切顺利得有点不真实，总觉得后面憋着个大的,anxiety
一发入魂,joy
一发入魂抽中了大奖，我是什么锦鲤本鲤吗,joy
一发入魂！,joy
一发入魂！这个限定皮肤终于到手了，我是什么锦鲤转世啊,joy
一听到那个名字，他原本拿着酒杯的手猛地停在了半空中,anxiety
一周没洗头，反正也没人见,contentment
一家人整整齐齐地坐在一起吃顿热乎饭，比什么都强,contentment
一屋两人，三餐四季，这就是我想要的安稳,contentment
一开始只是单纯的欣赏，什么时候起，这种感情已经变质成了深爱,love
一开始我只敢装作不在意，其实我的目光早就把你锁死在视线里了,love
一开始装作不经意，其实我的心早就被你填满,love
一心一意,love
一想到明天要出远门，就开始担心行李漏带了、车票找不到了，心神不宁。,anxiety
一本书，一盏茶，还有脚边睡得很香的小猫,contentment
一杯冒着热气的清茶似乎已经带来了一种久违的宁静。生活本该如此简单。,contentment
一杯冒着热气的清茶似乎已经这就是最好的状态。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶似乎让人感到格外舒畅。享受这一刻的安宁。,contentment
一杯冒着热气的清茶似乎让人感到格外舒畅，夫复何求。,contentment
一杯冒着热气的清茶似乎这就是最好的状态。知足常乐。,contentment
一杯冒着热气的清茶似乎这就是最好的状态。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶似乎透着平淡的幸福。知足常乐。,contentment
一杯冒着热气的清茶带来了一种久违的宁静。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶带来了一种久违的宁静，夫复何求。,contentment
一杯冒着热气的清茶心境随之变得开阔。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶必然这就是最好的状态。生活本该如此简单。,contentment
一杯冒着热气的清茶总会心境随之变得开阔。知足常乐。,contentment
一杯冒着热气的清茶总会心境随之变得开阔。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶总会让人感到格外舒畅。生活本该如此简单。,contentment
一杯冒着热气的清茶总会这就是最好的状态。享受这一刻的安宁。,contentment
一杯冒着热气的清茶总会透着平淡的幸福。享受这一刻的安宁。,contentment
一杯冒着热气的清茶真的带来了一种久违的宁静。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶真的让人感到格外舒畅，夫复何求。,contentment
一杯冒着热气的清茶真的让节奏慢了下来。享受这一刻的安宁。,contentment
一杯冒着热气的清茶真的这就是最好的状态。享受这一刻的安宁。,contentment
一杯冒着热气的清茶真的这就是最好的状态。知足常乐。,contentment
一杯冒着热气的清茶确实让节奏慢了下来。生活本该如此简单。,contentment
一杯冒着热气的清茶确实这就是最好的状态。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶确实透着平淡的幸福。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶竟然心境随之变得开阔。享受这一刻的安宁。,contentment
一杯冒着热气的清茶竟然心境随之变得开阔，夫复何求。,contentment
一杯冒着热气的清茶竟然让人感到格外舒畅。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶竟然让节奏慢了下来。享受这一刻的安宁。,contentment
一杯冒着热气的清茶竟然让节奏慢了下来。这就是稳稳的幸福。,contentment
一杯冒着热气的清茶竟然这就是最好的状态。享受这一刻的安宁。,contentment
一杯冒着热气的清茶竟然这就是最好的状态，夫复何求。,contentment
一杯冒着热气的清茶让人感到格外舒畅，夫复何求。,contentment
一杯冒着热气的清茶让节奏慢了下来。生活本该如此简单。,contentment
一杯冒着热气的清茶让节奏慢了下来。知足常乐。,contentment
一杯冒着热气的清茶透着平淡的幸福。享受这一刻的安宁。,contentment
一杯冒着热气的清茶透着平淡的幸福。知足常乐。,contentment
一杯冒着热气的清茶透着平淡的幸福，夫复何求。,contentment
一点点风吹草动都会让我变得敏感，这种状态真的太糟糕了,anxiety
一生一世,love
一生守护你,love
一直以为我们会是一辈子的好朋友，直到看到你把我拉黑的那一红点。,sadness
一直刷不到录取结果，每一秒都是漫长的精神折磨，心一直悬着,anxiety
一直在刷公司的招录动态，怕错过了唯一的补录机会，焦虑到想撞墙,anxiety
一直在刷后台消息，怕错过任何一个重要的入职通知,anxiety
一直在刷后台消息，怕错过任何一个重要的入职通知，好慌,anxiety
一直在刷后台消息，怕错过任何一个重要的通知,anxiety
一直在刷后台消息，怕错过任何一个重要的通知，手心全是汗,anxiety
一直在刷后台消息，怕错过任何一个重要的通知，手心全是汗，焦虑到死,anxiety
一直在刷后台消息，怕错过任何一个重要的通知，手心全是汗，焦虑得要死,anxiety
一直在刷快递进度，怕那个重要的证书在路上丢了，焦虑到坐立难安,anxiety
一直在刷快递进度，怕重要证件在路上丢了，焦虑到坐立难安,anxiety
一直在刷招聘进度看着简历石沉大海，这种迷茫感，快把我吞噬了,anxiety
一直在刷招聘进度看着简历石沉大海，这种迷茫感，快要把我整个人吞噬了,anxiety
一直在刷新招聘状态，看着发出去的简历一个个石沉大海，那种迷茫感让我失眠,anxiety
一直在刷新招聘软件，看着投出去的简历全石沉大海，那种焦虑感让我失眠,anxiety
一直在刷新招聘进度，怕错过任何一条反馈，这种等待的过程简直是精神折磨,anxiety
一直在刷新招聘进度，看着简历一个个石沉大海，真的好迷茫,anxiety
一直在刷新招聘进度，看着简历一个个石沉大海，那种迷茫感让我心慌,anxiety
一直在刷新招聘进度，看着简历一个个被拒，那种迷茫感真的让我焦虑到哭,anxiety
一直在刷新查分页面，怕看到那个结果，又怕错过那个结果，心跳快到嗓子眼了,anxiety
一直在刷新物流信息，怕快递丢了，又怕收到货不满意，强迫症快犯了,anxiety
一直在刷新考试成绩查询页面，怕自己又是一次陪跑，焦虑到手指颤抖,anxiety
一直在刷新银行卡余额，看着数字一点点变少，那种焦虑感像蛇一样缠着我,anxiety
一直在刷机票动态，怕航班临时取消耽误了大事，焦虑到坐立难安,anxiety
一直在刷机票动态，怕航班临时取消耽误大事，焦虑到坐立难安,anxiety
一直在刷消息，怕错过任何一个重要的通知，手心全是汗。,anxiety
一直在刷消息，怕错过通知，手心全是汗,anxiety
一直在刷消息，怕错过通知，手心全是汗，这种等待太折磨了,anxiety
一直在刷消息，怕错过面试通知，手心全是汗,anxiety
一直在刷这个话题的实时，怕有什么不好的风向,anxiety
一直在刷这个话题的实时，怕有什么不好的风向。,anxiety
一直在刷面试回复看着邮箱一片寂静，这种迷茫感，快把我吃了,anxiety
一直在想会不会出什么问题，越想越具体,anxiety
一直在担心,anxiety
一直在担心别人的看法,anxiety
一直在担心未来,anxiety
一直在担心未来的生活，这种焦虑感挥之不去,anxiety
一直在担心未来的生活，这种焦虑感挥之不去，感觉好累,anxiety
一直在担心未来的生活，这种焦虑感挥之不去，感觉生活失去了色彩,anxiety
一直在等一个消息，等到后来都不知道自己在等什么了,anxiety
一直在等那个未知的面试结果，每一分钟对我来说都是煎熬，心一直悬着,anxiety
一直在等那个未知的面试结果，每一分钟对我来说都是煎熬，心悬着,anxiety
一直在等那个未知的面试结果，每一分钟都是煎熬，心一直悬着,anxiety
一直在纠结要不要主动去道歉，怕对方根本不在乎，焦虑到整晚闭不上眼,anxiety
一直在纠结要不要主动去道歉，怕对方根本不在乎，焦虑到整晚闭眼,anxiety
一直在纠结要不要主动去道歉，怕对方根本不在乎，焦虑到睡不着,anxiety
一直在纠结要不要把那个秘密告诉他，怕说了之后一切都回不去了，心慌得要命,anxiety
一直在纠结要不要把那个秘密告诉他，怕说了之后连普通朋友都做不成了，心慌得要命,anxiety
一直在纠结要不要把那个秘密告诉他，怕说了之后连朋友都做不成，好焦虑,anxiety
一直在纠结要不要把那个秘密告诉他，怕说了连朋友都做不成，这种焦虑快把我折磨疯了,anxiety
一直在纠结要不要把那个秘密告诉他，怕说了连朋友都做不成，这种纠结好折磨,anxiety
一直在纠结要不要把那句喜欢说出口，怕说了连朋友都没得做，焦虑到失眠,anxiety
一直在纠结要不要换个城市生活，怕万一闯不出名堂，又怕错过了时机,anxiety
一直在纠结要不要换个城市生活，怕万一闯不出名堂，又怕错过了最后时机,anxiety
一直在纠结要不要换工作，万一下一家更坑呢？,anxiety
一直在纠结要不要换工作，怕万一下一家更坑,anxiety
一直在纠结要不要换工作，怕万一下一家更坑呢,anxiety
一直在纠结要不要换工作，怕万一下一家更坑，不敢动,anxiety
一直在纠结要不要说,anxiety
一直在纠结要不要说出那个秘密，怕说了连朋友都做不成，心慌得要命,anxiety
一直在纠结这个选择，怕选错了会后悔一辈子,anxiety
一直在纠结这个选择，怕选错了会后悔一辈子，焦虑得整晚失眠,anxiety
一直在纠结这个选择，怕选错了会后悔一辈子，焦虑得整晚睡不着,anxiety
一直在纠结这个选择，怕选错了会后悔一辈子，真的好痛苦,anxiety
一直担心事情出差错,anxiety
一直担心会做错事,anxiety
一直担心出问题,anxiety
一直担心别人怎么看我,anxiety
一直担心未来的生活，这种焦虑感挥之不去,anxiety
一直担心结果不好有点慌,anxiety
一直担心自己说错话,anxiety
一直没有确切的答复，这种等待的过程简直是心理折磨。,anxiety
一直没有确切的答复，这种等待的过程简直是心理折磨。...,anxiety
一直没有确切的答复，这种等待的过程简直是心理折磨。。,anxiety
一直没有确切的答复，这种等待的过程简直是心理折磨。，真的。,anxiety
一直等不到结果，每一分钟都是煎熬，心一直悬着,anxiety
一直纠结要不要把那个秘密告诉他，怕说了连朋友都做不成，折磨疯了,anxiety
一直纠结要不要把那笔亏损告诉家里，怕他们担心又怕自己扛不住，焦虑到整晚失眠,anxiety
一直联系不上他，不会是在路上出了什么意外吧？,anxiety
一而再再而三地消耗我的信任，真以为我是没脾气的吗,anger
一而再再而三地试探我的底线，真当我是软柿子捏吗,anger
一见倾心,love
一见钟情,love
一起看的演唱会只剩门票,sadness
一辈子友谊最后分崩离析,sadness
一辈子的好友因为利益断联，想起从前，真的唏嘘,sadness
一遍又一遍刷新那个空白页面，不停地清嗓子并整理领带,anxiety
一遍又一遍刷新那个空白页面，反复确认门窗是否关好,anxiety
一遍又一遍刷新那个空白页面，屏幕上红色的倒计时正在闪烁,anxiety
一遍又一遍刷新那个空白页面，手心里全是冷汗,anxiety
一遍又一遍刷新那个空白页面，每隔几秒就按亮一次手机屏幕,anxiety
一遍又一遍刷新那个空白页面，电脑散热器的轰鸣声让人心烦意乱,anxiety
一遍又一遍刷新那个空白页面，窗外的树影在风中剧烈晃动,anxiety
一遍又一遍刷新那个空白页面，肌肉紧绷到微微发酸,anxiety
一遍又一遍刷新那个空白页面，背后出了一层薄汗,anxiety
一遍又一遍刷新那个空白页面，腿肚子止不住地打战,anxiety
一闭上眼睛就开始复盘今天的事情，挑毛病,anxiety
一顿热乎的面条一个好觉，就是最实在的安全感，我已经知足了,contentment
一顿热乎饭一个安稳觉，就是最真实的安全感，知足了,contentment
万一世界末日真的来了，我还没好好享受过生活呢，真是不甘心。,anxiety
万一事情不像我想象的那样顺利，我该如何收场,anxiety
万一事情的发展超出了我的预期，我该怎么去补救,anxiety
万一他不再回我消息了怎么办...,anxiety
万一他不再回我消息了怎么办。,anxiety
万一他不再回我消息了怎么办！,anxiety
万一他不再回我消息了怎么办？,anxiety
万一他不再回我消息了怎么办～,anxiety
万一他不再爱我了，万一他只是在骗我，这种不安全感折磨得我整宿睡不着。,anxiety
万一他不喜欢我怎么办,anxiety
万一他不喜欢我，那我们以后连朋友都做不成了吧,anxiety
万一他不喜欢我，那我们以后连朋友都做不成了吧，太纠结了,anxiety
万一他不喜欢我，那我们以后连朋友都做不成了吧，好纠结,anxiety
万一他不喜欢我，那我们以后连朋友都做不成了吧，这种纠结真的好难受,anxiety
万一他不喜欢我，那我们连朋友都做不成了吧,anxiety
万一他不喜欢我，那我们连朋友都做不成了吧，好想逃避现实,anxiety
万一他不喜欢我，那我们连朋友都做不成了吧，这种纠结真的好难受,anxiety
万一他不喜欢我，那我是不是成了全宇宙最大的笑话,anxiety
万一他不爱我了，我该怎么活下去？这种不安全感真的好折磨。,anxiety
万一他发现我其实并不完美，会不会嫌弃我？好怕失去这份感情。,anxiety
万一他只是在玩弄我的感情，那我付出的这一切岂不是全白费了？,anxiety
万一他没看到我的留言，计划是不是全都要泡汤了,anxiety
万一他误会了我的意思，我该怎么解释？,anxiety
万一他误会了我的意思，那该怎么解释才好...,anxiety
